,title,link,views,date,thumbnail
87,Unlock GATE 2024 | GeeksforGeeks,/watch?v=4TVPoMDU0Ts,22K views,6 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
88,We Stole This For You,/watch?v=eVV0MO_IBnw,7.3K views,6 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
89,Career Advancement Test For EWS & PWD Candidates | Student Grant of INR 10 Lakh | GeeksforGeeks,/watch?v=DpCJ74xg93E,6.1K views,6 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
90,GfG Mobile App | Android & iOS | Download for Free,/watch?v=Rsh8xd3aIqw,11K views,6 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
91,🔒 Securing Your Data in the Cloud: GCP's Top SECURITY Features | GeesforGeeks,/watch?v=rwLBsyQ4rO8,448 views,6 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
92,GATE CSE Offline Classes | GATE 2024 Crash Course | Delhi NCR | GeeksforGeeks,/watch?v=a9xiYYqbaHg,18K views,6 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
93,How to Build a To-Do Application in Flutter | GeeksforGeeks,/watch?v=fNuURHd7POk,988 views,6 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
94,How to Use Google Sign-in With Firebase in Flutter | GeeksforGeeks,/watch?v=MRb_2Kg0nRI,7.7K views,6 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
95,Machine Learning on GCP | Harnessing the Power of AI | GeeksforGeeks,/watch?v=KSTX28pUSeI,542 views,6 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
96,GRAPH Data Structure | What is Graph? | DSA Course | GeeksforGeeks,/watch?v=gTsoyORhqkg,5.8K views,6 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
97,Handling Missing Values | Machine Learning | GeeksforGeeks,/watch?v=yFJ2_phRslY,846 views,7 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
98,Security Risks of Cloud Computing | GeeksforGeeks,/watch?v=6lxKkdyvS6M,1.6K views,7 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
99,DSA Classroom Program with Placement Assistance | Now in Noida & Gurugram | GeeksforGeeks,/watch?v=ACZoeLwm_fE,148K views,7 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
100,Free Cloud Bootcamp Sponsored by Google for Developers | GeeksforGeeks,/watch?v=uXpOqQEw7Pc,2.3K views,7 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
101,All Your Queries Answered | DSA to Development Program | GeeksforGeeks,/watch?v=kHBzDvj3D2U,2K views,7 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
102,10 TIPS and TRICKS to Crack Internships and Placements | GeeksforGeeks,/watch?v=2QDMIZGeIC4,876 views,7 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
103,Complete School Guide for CBSE | Free Resources For School Students | GeeksforGeeks,/watch?v=1ECMlxC6jbs,642 views,7 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
104,Master System Design | GeeksforGeeks,/watch?v=vjWLZYeqiN8,86K views,7 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
105,"Unraveling the Geek-a-thon: The What, How, and Why | Geek-A-Thon | GeeksforGeeks",/watch?v=6e0v_NhsFMQ,555 views,7 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
